name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Agartala, TR, India",2025-01-20T00:00:00,58.7,58.7,54.4,85.55,0,0,,0,0,7.6,4.3,307.7,1013,0,15,0,0,0,10,Clear,clear-night,remote
"Agartala, TR, India",2025-01-20T01:00:00,58.2,58.2,54.2,86.65,0,0,,0,0,8.5,4.7,312.7,1012,0,15,0,0,0,10,Clear,clear-night,remote
"Agartala, TR, India",2025-01-20T02:00:00,55.6,55.6,55.4,99.6,0,0,,0,0,7.6,0,318.2,1011.7,0,0.7,0,0,0,10,Clear,fog,"42724099999,41915099999,41933099999"
"Agartala, TR, India",2025-01-20T03:00:00,57.1,57.1,52.8,85.46,0,0,,0,0,7.6,5.1,323.2,1012,0,15,0,0,0,10,Clear,clear-night,remote
"Agartala, TR, India",2025-01-20T04:00:00,55.3,55.3,53.1,92.42,0,0,,0,0,6.7,4.3,337.1,1012,0,15,0,0,0,10,Clear,clear-night,remote
"Agartala, TR, India",2025-01-20T05:00:00,53.6,53.6,53.6,99.95,0,0,,0,0,6.5,1.6,180,1012.1,0,0.9,0,0,0,10,Clear,fog,"42724099999,41915099999,41933099999,VEAT"
"Agartala, TR, India",2025-01-20T06:00:00,53.6,53.6,53.6,100,0,0,,0,0,6.5,0,0,1013,0,1.2,0,0,0,10,Clear,clear-night,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T07:00:00,57.2,57.2,53.6,87.75,0,0,,0,0,6.3,0,0,1013,0,1.2,4,0,0,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T08:00:00,61.7,61.7,56,81.41,0,0,,0,0,6.9,0,0,1014.1,0,1.3,119.3,0.4,1,10,Clear,clear-day,"42724099999,41933099999,VEAT"
"Agartala, TR, India",2025-01-20T09:00:00,66.2,66.2,55.4,68.18,0,0,,0,0,8.5,0,0,1014,0,1.2,321.1,1.2,3,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T10:00:00,71.6,71.6,55.4,56.66,0,0,,0,0,10.1,0,0,1013,0,1.9,510.1,1.8,5,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T11:00:00,75.2,75.2,60.9,61.03,0,0,,0,0,10.3,2.8,256,1012.3,0,1.6,652.1,2.3,7,10,Clear,clear-day,"42724099999,41933099999,VEAT"
"Agartala, TR, India",2025-01-20T12:00:00,75.2,75.2,60.8,60.93,0,0,,0,0,10.5,5.8,280,1011,0,1.9,730.3,2.6,7,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T13:00:00,77,77,60.8,57.39,0,0,,0,0,11.4,5.8,270,1010,0,1.9,738.4,2.7,7,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T14:00:00,78.9,78.9,56,45.4,0,0,,0,0,12.1,3.9,254,1009.9,0,1.6,672.5,2.4,7,10,Clear,clear-day,"42724099999,41915099999,41933099999,VEAT"
"Agartala, TR, India",2025-01-20T15:00:00,77,77,57.2,50.46,0,0,,0,0,12.1,5.8,280,1009,0,1.9,542.5,2,5,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T16:00:00,75.2,75.2,62.6,64.93,0,0,,0,0,11.4,3.4,300,1009,0,1.9,359.9,1.3,4,10,Clear,clear-day,"42724099999,VEAT"
"Agartala, TR, India",2025-01-20T17:00:00,71.6,71.6,61.9,71.59,0,0,,0,0,9.4,3.3,256,1009.9,0,1.6,156.7,0.6,2,10,Clear,clear-day,"42724099999,41915099999,41933099999,VEAT"
